-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,-22,
-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,
-23,-24,-3,-3,-17,-3,-3,-17,-3,-3,-3,-3,-3,
-2,-3,-5,-4,-4,-5,-4,17,3,-1,-4,-4,-4,
-4,-3,-4,-6,16,2,-2,15,16,2,-2,-5,-5,
-6,-5,17,16,14,36,22,18,23,36,22,18,15,
-8,-7,15,37,23,34,56,42,38,43,56,42,38,
-10,-9,13,35,57,43,54,55,41,41,54,55,41,
-2,-3,11,33,55,56,52,62,54,44,52,53,54,
-4,-3,17,31,53,63,76,62,82,74,64,60,61,
-2,4,15,29,51,61,74,96,82,81,74,70,66,
-4,2,13,27,49,59,72,94,95,81,80,73,69,
-6,0,11,25,47,57,70,92,93,94,80,79,72,
-2,0,9,23,45,55,68,90,91,92,93,79,78,
-2,18,7,21,43,53,66,88,89,90,91,92,78,
-4,16,38,24,41,51,64,86,90,93,96,99,112,
-6,14,36,58,44,49,63,84,88,110,113,116,119,
-2,12,34,56,57,47,61,83,86,108,111,114,117,
-4,10,32,54,55,77,63,81,103,106,116,129,132,
-6,8,30,52,53,75,97,83,101,123,114,136,149,
-8,6,28,50,51,73,95,96,103,121,143,134,156,
