-22,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,-23,
-22,-23,-24,-3,-3,-5,-3,-3,-5,-3,-3,-3,-3,
-22,-2,-3,-5,-4,-4,-6,-4,17,15,13,11,9,
-22,-16,-3,-4,-6,16,14,12,10,16,14,12,10,
-22,-20,-17,17,16,14,36,34,32,30,36,34,32,
-22,-23,-21,3,37,35,33,56,54,52,50,56,54,
-22,-23,-24,-1,23,57,55,53,55,53,51,49,55,
-22,-2,-3,-5,19,43,56,54,62,60,58,56,54,
-22,-16,-3,17,15,39,63,76,74,82,80,78,76,
-22,-2,4,3,16,35,49,62,96,94,92,90,88,
-22,-16,-3,3,7,31,45,58,82,95,93,91,89,
-22,-20,-14,-4,5,27,41,54,78,81,94,92,90,
-22,-2,0,-2,3,25,37,50,74,77,80,93,91,
-22,-2,18,16,14,23,33,46,70,73,76,79,92,
-22,-16,4,38,36,34,43,53,66,90,93,96,99,
-22,-20,0,24,58,56,54,63,64,86,110,113,116,
-22,-2,0,20,44,57,55,53,83,81,96,109,112,
-22,-16,-3,20,40,43,77,75,73,103,101,116,129,
-22,-20,-12,17,40,39,63,97,95,93,123,121,136,
-22,-23,-14,8,37,39,59,83,96,103,109,143,141,
-22,-23,-16,6,28,36,55,79,82,95,105,129,142,
